task,task_version,family,primitive,attempt,harness,harness_version,provider,model,trial,passed,reward,verifier_rewards,verifier_groups,workspace_changed_files,workspace_lines_added,workspace_lines_deleted,workspace_untracked_files,workspace_changed_files_total,workspace_untracked_text_lines_added,workspace_text_lines_added_total,workspace_text_lines_deleted_total,inference_calls,input_tokens,cached_tokens,uncached_input_tokens,output_tokens,cost_usd,total_seconds,agent_execution_seconds
agent-harness-smoke/batchline-worker-draining-event-extraction,0.2.0,S1,coordinated worker lifecycle plus Python/schema extraction and constrained verification,1,mini-swe-agent,2.4.6,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-worker-draining-event__jZT9z9E,False,0.0,"{""reward"": 0.0}","{""G1_lifecycle"": {""note"": ""non-draining snapshot retaining a reason must be rejected"", ""status"": ""fail""}, ""G2_capacity_health"": {""note"": """", ""status"": ""pass""}, ""G3_public_surfaces"": {""note"": """", ""status"": ""pass""}, ""G4_event_structure"": {""note"": """", ""status"": ""pass""}, ""G5_event_contract"": {""note"": """", ""status"": ""pass""}, ""G6_integration_preservation"": {""note"": """", ""status"": ""pass""}}",10,246,383,4,14,556,802,383,47,1181715,1077248,104467,60210,0.07809249,671.185293,600.03691
agent-harness-smoke/batchline-worker-draining-event-extraction,0.2.0,S1,coordinated worker lifecycle plus Python/schema extraction and constrained verification,2,mini-swe-agent,2.4.6,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-worker-draining-event__yx9PQ93,True,1.0,"{""reward"": 1.0}","{""G1_lifecycle"": {""note"": """", ""status"": ""pass""}, ""G2_capacity_health"": {""note"": """", ""status"": ""pass""}, ""G3_public_surfaces"": {""note"": """", ""status"": ""pass""}, ""G4_event_structure"": {""note"": """", ""status"": ""pass""}, ""G5_event_contract"": {""note"": """", ""status"": ""pass""}, ""G6_integration_preservation"": {""note"": """", ""status"": ""pass""}}",10,152,380,4,14,548,700,380,43,1389312,1296384,92928,44405,0.07503322,491.054998,426.569415
